Mass
2.73205
3.10256
9.41149
7.74702
8.67727
2.30104
8.38705
4.14828
3.1318
28.3605
14.236
8.47813
6.79063
9.97321
27.5089
12.419
15.1381
7.92127
11.2902
11.5705
3.50342
7.98031
9.29907
9.56971
16.378
6.56139
3.19125
4.51843
4.8285
12.3148
3.22257
7.2092
2.53132
2.30013
3.14543
4.88183
3.10956
2.91481
85.5334
9.12724
7.6858
19.7775
2.2888
3.65321
2.50258
2.25377
2.84162
6.51134
2.39166
3.47293
7.01044
4.37131
4.79145
2.6909
9.3095
2.41898
2.26747
3.01714
10.9494
14.8024
6.1981
2.09277
9.05563
10.4372
9.25649
15.0099
20.0875
2.04509
8.14436
3.08825
13.913
10.5593
8.17615
4.60608
15.3896
14.8786
2.27021
12.0382
17.9408
3.66336
25.7509
2.61044
2.42061
10.6234
62.2701
15.9577
49.5792
9.75783
16.042
71.3914
10.9649
10.2711
6.03483
2.62411
33.8918
2.93386
20.9214
9.17568
2.06584
3.15032
2.95262
66.5957
2.47913
2.80309
10.3121
6.35877
3.37137
9.58561
5.82299
7.96934
13.6508
9.89235
5.5443
3.77951
3.88144
12.294
3.17632
9.03583
28.2547
9.41453
10.4349
2.32824
3.58241
16.9588
11.2171
3.68806
25.8401
9.51608
3.07391
3.09614
3.57191
2.12266
12.0807
15.8971
2.42513
7.23602
3.49902
8.12588
3.83646
5.50979
8.50969
12.0011
6.4213
3.10768
2.89694
3.28484
3.5281
8.09343
2.08481
13.2679
16.3874
5.54044
15.6247
2.89079
22.3261
2.88045
2.82265
2.35254
6.29938
2.0553
15.2996
3.25349
8.00689
3.05154
4.86512
16.4166
3.18754
2.85355
7.70118
8.9399
2.05199
12.7273
2.77421
2.08338
3.55182
4.8691
9.83992
3.70543
2.27686
13.262
2.50872
29.3309
3.21917
45.6883
2.37605
4.12574
3.72878
3.02768
2.15797
6.46668
3.04822
2.24734
3.13543
8.26709
3.13736
17.7283
18.9989
2.68095
8.18321
3.3627
6.71888
33.0329
2.00496
5.32417
3.10934
11.1088
6.54366
14.9867
2.23003
6.5237
9.70511
3.3598
2.10108
4.18311
2.67567
6.23888
22.1738
5.7028
8.37546
3.0399
3.12447
2.70593
7.08931
6.44205
7.30086
3.84104
8.90076
19.5444
12.9659
5.79007
9.50851
6.36686
17.2104
16.8861
2.5297
8.9489
9.61268
2.19824
3.04603
9.19313
2.75553
3.07352
2.25442
74.1569
23.3168
33.617
11.9498
10.2496
2.06787
3.08331
5.65407
3.0569
3.80505
8.96666
13.2118
12.8983
23.7596
8.03377
19.9143
2.64004
3.47303
3.12115
6.43282
5.41898
5.43317
2.28723
3.06746
7.2614
26.1532
2.30518
5.4708
3.43144
7.52509
3.08685
3.47478
2.00161
8.59319
2.06596
5.5994
8.03313
6.31828
9.37818
3.48077
4.20138
14.0655
2.9946
3.89495
10.8207
2.65397
16.7324
4.46985
3.33856
12.1627
8.05568
12.4057
9.41116
8.32618
3.2761
11.0139
9.07276
3.06443
11.7922
14.0343
2.02893
3.07897
10.9845
12.6273
14.538
15.0682
78.141
3.50355
10.002
4.1667
5.3591
6.62618
2.24965
10.2323
2.63401
11.3253
3.04674
9.42093
6.05459
22.9543
2.08908
11.6392
11.7851
13.165
2.90864
4.00858
9.4887
2.34696
9.87508
2.14488
17.9671
21.2784
2.894
11.293
5.9582
6.35489
9.43118
28.2669
12.3073
10.765
2.93681
8.3699
12.6606
14.4076
16.6618
15.5098
2.18005
12.5263
10.4867
2.97784
19.2281
8.08726
6.16958
3.82008
2.34534
2.76704
5.05273
33.9284
2.73121
15.9615
10.161
3.40391
3.09301
4.95385
2.1368
35.8083
6.18841
2.0337
4.81398
12.1869
2.82709
5.52638
14.2074
3.49129
16.9514
9.48037
17.3618
2.72471
13.3666
10.9945
11.6099
2.62664
29.9107
2.98857
2.61326
3.1006
4.0189
8.42925
8.39451
7.61559
13.4638
18.5482
7.50465
2.26031
3.10233
3.32201
4.22901
7.88242
4.47294
8.39553
19.4512
25.1173
14.7303
12.2259
15.3754
2.44252
2.97789
2.10132
15.1921
4.02088
2.28621
5.28009
10.7343
7.3417
15.1437
3.51474
21.1091
2.91649
3.08268
4.99428
19.6031
2.76715
9.97095
15.1477
9.49552
19.7172
14.0163
10.0801
2.34719
8.30795
3.53876
6.15091
22.226
3.12001
6.75709
3.04983
5.62456
5.14045
7.62117
14.5178
3.20794
4.61813
13.6394
18.3368
36.9859
3.33963
24.267
7.84277
8.60896
22.2733
9.62527
11.6545
3.46849
14.9048
9.48438
4.01491
5.77117
2.71144
9.92324
8.16207
8.91962
4.71326
14.204
4.62211
12.8815
7.74229
2.29759
17.1422
8.18852
18.2823
3.85439
3.65361
9.13203
24.2905
8.79954
3.01589
11.0145
9.90304
17.4828
11.3892
3.04933
8.6688
6.61844
12.5394
3.19771
13.5802
7.18977
2.07332
4.32075
9.59704
14.7926
18.8107
5.15658
6.32419
2.72179
21.1072
8.09625
2.66086
10.0026
23.5305
7.14039
12.8446
18.3929
4.24647
15.9865
12.1366
8.62976
2.50524
3.11074
3.41551
3.49239
2.32332
5.84617
16.4118
2.2273
2.74149
10.1799
12.4574
12.4801
7.94759
7.25381
3.10937
2.26032
